account_id,customer_id,account_type,opened_date,status
1,48130,CURRENT,2026-12-04,ACTIVE
2,2,CURRENT,2026-12-04,ACTIVE
3,3,SAVINGS,2024-07-10,ACTIVE
4,4,SAVINGS,2025-09-07,ACTIVE
5,5,CURRENT,2025-06-24,ACTIVE
6,5,CURRENT,2021-07-16,ACTIVE
7,5,SAVINGS,2025-05-31,ACTIVE
8,6,LOAN,2026-12-04,ACTIVE
9,7,LOAN,2023-06-17,ACTIVE
10,8,SAVINGS,2025-05-28,CLOSED
11,8,LOAN,2024-10-29,ACTIVE
12,8,SAVINGS,2025-11-26,ACTIVE
13,9,CURRENT,2026-12-04,ACTIVE
14,10,SAVINGS,2025-01-16,ACTIVE
15,50179,LOAN,2022-09-22,ACTIVE
16,12,LOAN,2025-09-25,CLOSED
17,13,CURRENT,2025-12-03,CLOSED
18,14,SAVINGS,2023-12-25,CLOSED
19,15,SAVINGS,2023-09-19,CLOSED
20,16,CURRENT,2020-09-17,ACTIVE
21,16,LOAN,2025-11-18,ACTIVE
22,47296,SAVINGS,2025-07-18,ACTIVE
23,17,SAVINGS,2026-12-04,ACTIVE
24,18,LOAN,2025-10-30,ACTIVE
25,45473,LOAN,2022-09-08,ACTIVE
26,46169,SAVINGS,2024-11-30,ACTIVE
27,20,LOAN,2025-04-07,CLOSED
28,21,LOAN,2020-07-08,ACTIVE
29,21,SAVINGS,2021-11-16,ACTIVE
30,22,CURRENT,2026-12-04,ACTIVE
31,23,CURRENT,2025-10-27,ACTIVE
32,24,CURRENT,2023-06-21,ACTIVE
33,25,LOAN,2024-03-22,ACTIVE
34,26,CURRENT,2025-06-21,ACTIVE
35,27,CURRENT,2025-08-26,ACTIVE
36,27,SAVINGS,2023-02-22,ACTIVE
37,27,SAVINGS,2025-06-01,ACTIVE
38,28,LOAN,2023-04-08,ACTIVE
39,28,LOAN,2023-02-26,CLOSED
40,47303,CURRENT,2025-03-17,ACTIVE
41,29,CURRENT,2023-10-05,ACTIVE
42,29,CURRENT,2024-10-19,ACTIVE
43,30,SAVINGS,2025-04-14,ACTIVE
44,31,LOAN,2021-12-22,ACTIVE
45,31,LOAN,2025-02-07,ACTIVE
46,45261,CURRENT,2024-03-12,ACTIVE
47,32,SAVINGS,2025-05-09,ACTIVE
48,33,CURRENT,2024-12-12,ACTIVE
49,34,LOAN,2024-07-21,ACTIVE
50,49256,CURRENT,2025-06-11,ACTIVE
51,34,SAVINGS,2022-05-05,ACTIVE
52,35,LOAN,2023-05-22,CLOSED
53,35,LOAN,2024-12-25,ACTIVE
54,36,SAVINGS,2025-07-06,ACTIVE
55,37,SAVINGS,2025-04-16,ACTIVE
56,38,LOAN,2023-03-22,ACTIVE
57,39,SAVINGS,2021-01-18,ACTIVE
58,40,CURRENT,2024-08-05,ACTIVE
59,40,SAVINGS,2024-06-20,ACTIVE
60,41,LOAN,2024-01-08,ACTIVE
61,42,SAVINGS,2023-11-02,ACTIVE
62,42,CURRENT,2023-03-14,ACTIVE
63,43,SAVINGS,2022-05-28,ACTIVE
64,43,SAVINGS,2024-07-14,ACTIVE
65,44,SAVINGS,2025-08-15,ACTIVE
66,45,LOAN,2025-11-21,CLOSED
67,45,SAVINGS,2022-08-25,ACTIVE
68,48380,SAVINGS,2022-11-01,ACTIVE
69,46,SAVINGS,2021-10-28,CLOSED
70,47,CURRENT,2025-08-31,ACTIVE
71,48,LOAN,2022-10-17,ACTIVE
72,48,LOAN,2024-03-03,ACTIVE
73,49,CURRENT,2025-09-02,CLOSED
74,50,SAVINGS,2024-01-07,ACTIVE
75,51,SAVINGS,2021-04-11,ACTIVE
76,52,SAVINGS,2025-10-18,ACTIVE
77,52,CURRENT,2025-11-06,ACTIVE
78,52,LOAN,2024-07-26,ACTIVE
79,53,SAVINGS,2022-12-18,ACTIVE
80,54,CURRENT,2023-03-14,ACTIVE
81,54,CURRENT,2025-10-30,ACTIVE
82,55,SAVINGS,2023-12-25,ACTIVE
83,55,SAVINGS,2025-01-14,ACTIVE
84,55,LOAN,2023-04-01,CLOSED
85,56,SAVINGS,2025-01-10,ACTIVE
86,57,CURRENT,2024-05-24,ACTIVE
87,58,SAVINGS,2023-01-08,ACTIVE
88,59,CURRENT,2022-09-03,ACTIVE
89,59,SAVINGS,2026-12-04,ACTIVE
90,59,CURRENT,2023-07-06,ACTIVE
91,60,LOAN,2023-09-21,CLOSED
92,61,CURRENT,2023-04-20,ACTIVE
93,62,CURRENT,2023-10-15,ACTIVE
94,45426,SAVINGS,2025-05-10,ACTIVE
95,62,LOAN,2024-12-29,ACTIVE
96,63,CURRENT,2025-08-16,ACTIVE
97,64,SAVINGS,2024-07-13,ACTIVE
98,65,LOAN,2023-06-18,CLOSED
99,66,SAVINGS,2025-09-30,ACTIVE
100,45335,SAVINGS,2024-05-31,ACTIVE
101,67,SAVINGS,2024-12-19,ACTIVE
102,67,LOAN,2026-12-04,ACTIVE
103,47692,CURRENT,2024-03-13,ACTIVE
104,50181,LOAN,2024-10-24,ACTIVE
105,68,CURRENT,2024-07-30,ACTIVE
106,69,LOAN,2025-08-16,ACTIVE
107,70,CURRENT,2022-03-06,ACTIVE
108,71,SAVINGS,2022-03-22,ACTIVE
109,71,SAVINGS,2025-07-09,ACTIVE
110,72,SAVINGS,2025-03-23,ACTIVE
111,73,CURRENT,2022-09-21,ACTIVE
112,73,CURRENT,2024-05-05,ACTIVE
113,74,LOAN,2025-07-07,ACTIVE
114,74,SAVINGS,2025-06-05,ACTIVE
115,74,SAVINGS,2025-05-16,ACTIVE
116,75,LOAN,2022-09-08,CLOSED
117,76,LOAN,2025-07-09,ACTIVE
118,76,CURRENT,2023-07-11,ACTIVE
119,77,LOAN,2025-05-23,ACTIVE
120,78,SAVINGS,2023-08-18,CLOSED
121,78,LOAN,2024-09-07,ACTIVE
122,78,SAVINGS,2026-12-04,ACTIVE
123,79,CURRENT,2023-03-20,ACTIVE
124,79,LOAN,2022-10-27,CLOSED
125,80,SAVINGS,2025-07-09,ACTIVE
126,81,SAVINGS,2024-08-15,CLOSED
127,82,CURRENT,2024-03-21,ACTIVE
128,83,LOAN,2025-05-28,CLOSED
129,83,LOAN,2022-02-12,ACTIVE
130,47389,SAVINGS,2025-10-21,ACTIVE
131,84,SAVINGS,2025-10-19,ACTIVE
132,85,LOAN,2025-10-24,ACTIVE
133,86,SAVINGS,2024-07-29,CLOSED
134,86,LOAN,2023-11-26,CLOSED
135,87,CURRENT,2026-12-04,ACTIVE
136,88,LOAN,2022-02-15,ACTIVE
137,89,SAVINGS,2024-11-24,ACTIVE
138,90,CURRENT,2020-11-13,ACTIVE
139,91,SAVINGS,2022-09-04,ACTIVE
140,91,CURRENT,2023-06-18,ACTIVE
141,92,SAVINGS,2023-04-13,CLOSED
142,93,SAVINGS,2023-04-15,ACTIVE
143,94,LOAN,2020-10-19,CLOSED
144,94,SAVINGS,2024-08-18,ACTIVE
145,95,CURRENT,2025-08-13,ACTIVE
146,96,CURRENT,2025-04-01,ACTIVE
147,97,LOAN,2022-07-17,ACTIVE
148,97,CURRENT,2025-12-04,ACTIVE
149,97,CURRENT,2025-10-10,CLOSED
150,98,CURRENT,2024-01-27,ACTIVE
151,49406,SAVINGS,2021-07-31,CLOSED
152,99,CURRENT,2024-08-26,ACTIVE
153,49616,SAVINGS,2025-08-07,ACTIVE
154,100,CURRENT,2023-01-31,ACTIVE
155,100,SAVINGS,2025-02-13,ACTIVE
156,100,LOAN,2023-02-14,ACTIVE
157,46876,LOAN,2025-09-02,ACTIVE
158,102,CURRENT,2024-11-19,ACTIVE
159,102,CURRENT,2025-02-22,ACTIVE
160,103,CURRENT,2023-04-29,ACTIVE
161,103,CURRENT,2022-06-21,ACTIVE
162,103,SAVINGS,2025-10-07,CLOSED
163,104,SAVINGS,2025-04-17,ACTIVE
164,105,LOAN,2023-08-20,ACTIVE
165,106,CURRENT,2025-11-18,ACTIVE
166,107,LOAN,2023-07-11,ACTIVE
167,107,LOAN,2025-07-18,ACTIVE
168,107,CURRENT,2023-02-08,ACTIVE
169,108,LOAN,2025-03-05,ACTIVE
170,109,SAVINGS,2022-05-28,ACTIVE
171,110,SAVINGS,2024-12-03,ACTIVE
172,111,SAVINGS,2026-12-04,ACTIVE
173,112,SAVINGS,2022-09-23,CLOSED
174,113,LOAN,2022-12-09,CLOSED
175,114,SAVINGS,2024-04-30,ACTIVE
176,114,LOAN,2023-05-11,CLOSED
177,114,CURRENT,2024-09-01,ACTIVE
178,115,SAVINGS,2022-07-04,ACTIVE
179,46548,LOAN,2024-11-22,ACTIVE
180,116,SAVINGS,2024-06-03,ACTIVE
181,116,SAVINGS,2022-08-25,ACTIVE
182,116,SAVINGS,2025-11-02,ACTIVE
183,117,SAVINGS,2024-09-07,ACTIVE
184,118,LOAN,2021-04-21,ACTIVE
185,118,CURRENT,2024-11-27,ACTIVE
186,119,CURRENT,2023-04-15,ACTIVE
187,120,LOAN,2025-04-17,CLOSED
188,121,SAVINGS,2024-05-30,ACTIVE
189,122,LOAN,2025-09-09,ACTIVE
190,123,LOAN,2020-12-22,ACTIVE
191,124,CURRENT,2022-05-27,ACTIVE
192,125,LOAN,2025-08-01,ACTIVE
193,48854,CURRENT,2021-08-11,CLOSED
194,126,LOAN,2025-07-04,ACTIVE
195,127,SAVINGS,2025-01-08,ACTIVE
196,128,LOAN,2025-07-13,ACTIVE
197,129,LOAN,2025-09-09,CLOSED
198,129,SAVINGS,2025-01-10,ACTIVE
199,130,LOAN,2024-12-26,ACTIVE
200,131,CURRENT,2023-08-12,ACTIVE
201,45411,CURRENT,2024-07-26,CLOSED
202,132,CURRENT,2025-03-16,CLOSED
203,132,LOAN,2024-02-20,ACTIVE
204,45499,SAVINGS,2025-03-21,ACTIVE
205,133,LOAN,2026-12-04,ACTIVE
206,134,CURRENT,2025-05-17,ACTIVE
207,135,CURRENT,2022-12-31,ACTIVE
208,136,LOAN,2025-12-02,ACTIVE
209,137,LOAN,2023-01-28,ACTIVE
210,138,SAVINGS,2022-05-17,ACTIVE
211,139,CURRENT,2024-08-10,CLOSED
212,140,LOAN,2025-11-16,ACTIVE
213,140,LOAN,2025-07-24,ACTIVE
214,140,LOAN,2025-11-19,ACTIVE
215,141,LOAN,2025-07-30,ACTIVE
216,141,LOAN,2021-11-26,ACTIVE
217,142,LOAN,2025-06-22,ACTIVE
218,142,LOAN,2023-10-17,ACTIVE
219,142,CURRENT,2025-05-01,ACTIVE
220,143,CURRENT,2021-10-27,ACTIVE
221,144,CURRENT,2024-06-29,ACTIVE
222,145,LOAN,2023-03-29,ACTIVE
223,146,LOAN,2025-09-11,CLOSED
224,147,SAVINGS,2024-04-08,CLOSED
225,148,SAVINGS,2023-10-20,ACTIVE
226,148,LOAN,2023-11-17,ACTIVE
227,148,SAVINGS,2023-08-06,ACTIVE
228,149,CURRENT,2024-10-20,CLOSED
229,149,LOAN,2023-04-11,ACTIVE
230,150,SAVINGS,2021-11-01,ACTIVE
231,150,LOAN,2023-10-27,ACTIVE
232,150,CURRENT,2025-07-07,ACTIVE
233,45415,SAVINGS,2025-09-30,ACTIVE
234,151,SAVINGS,2025-02-15,ACTIVE
235,152,CURRENT,2021-04-30,ACTIVE
236,46598,SAVINGS,2024-12-28,ACTIVE
237,153,CURRENT,2025-08-11,ACTIVE
238,153,CURRENT,2024-12-22,ACTIVE
239,154,CURRENT,2024-10-14,ACTIVE
240,154,CURRENT,2025-04-04,ACTIVE
241,154,LOAN,2023-05-15,ACTIVE
242,155,LOAN,2021-03-01,ACTIVE
243,156,CURRENT,2025-02-14,ACTIVE
244,157,SAVINGS,2024-01-24,ACTIVE
245,158,CURRENT,2025-08-19,ACTIVE
246,158,LOAN,2023-07-15,ACTIVE
247,158,SAVINGS,2022-07-09,ACTIVE
248,159,CURRENT,2025-11-20,ACTIVE
249,47846,SAVINGS,2022-12-08,ACTIVE
250,160,LOAN,2022-11-27,CLOSED
251,160,LOAN,2025-10-09,CLOSED
252,161,SAVINGS,2025-09-16,ACTIVE
253,48496,SAVINGS,2025-06-05,ACTIVE
254,162,LOAN,2026-12-04,ACTIVE
255,162,CURRENT,2024-10-14,CLOSED
256,163,LOAN,2024-12-24,ACTIVE
257,164,CURRENT,2022-01-21,ACTIVE
258,165,LOAN,2025-05-31,ACTIVE
259,166,SAVINGS,2025-10-10,ACTIVE
260,166,LOAN,2025-03-09,ACTIVE
